WY,Oct_Mar,Apr_Jul,WYsum,Index,WYtype,watershed
1920,     0.72,   3.29,   4.09,  2.64,   BN,San Joaquin Valley
1921,     1.97,   3.84,   5.90,  3.23,   AN,San Joaquin Valley
1922,     1.51,   5.99,   7.68,  4.54,    W,San Joaquin Valley
1923,     1.39,   3.95,   5.51,  3.55,   AN,San Joaquin Valley
1924,     0.45,   1.03,   1.50,  1.42,    C,San Joaquin Valley
1925,     1.45,   3.93,   5.51,  2.93,   BN,San Joaquin Valley
1926,     0.89,   2.56,   3.49,  2.30,    D,San Joaquin Valley
1927,     1.80,   4.56,   6.50,  3.56,   AN,San Joaquin Valley
1928,     1.69,   2.64,   4.37,  2.63,   BN,San Joaquin Valley
1929,     0.52,   2.29,   2.84,  2.00,    C,San Joaquin Valley
1930,     0.76,   2.44,   3.25,  2.02,    C,San Joaquin Valley
1931,     0.46,   1.18,   1.66,  1.20,    C,San Joaquin Valley
1932,     1.79,   4.69,   6.63,  3.41,   AN,San Joaquin Valley
1933,     0.49,   2.77,   3.34,  2.44,    D,San Joaquin Valley
1934,     0.98,   1.26,   2.28,  1.44,    C,San Joaquin Valley
1935,     1.26,   5.03,   6.41,  3.56,   AN,San Joaquin Valley
1936,     2.00,   4.38,   6.49,  3.74,   AN,San Joaquin Valley
1937,     1.78,   4.66,   6.53,  3.90,    W,San Joaquin Valley
1938,     3.58,   7.33,  11.24,  5.89,    W,San Joaquin Valley
1939,     1.00,   1.83,   2.90,  2.20,    D,San Joaquin Valley
1940,     2.49,   4.04,   6.59,  3.36,   AN,San Joaquin Valley
1941,     2.22,   5.51,   7.93,  4.43,    W,San Joaquin Valley
1942,     1.93,   5.28,   7.38,  4.44,    W,San Joaquin Valley
1943,     2.86,   4.28,   7.28,  4.03,    W,San Joaquin Valley
1944,     0.87,   2.97,   3.92,  2.76,   BN,San Joaquin Valley
1945,     2.07,   4.37,   6.60,  3.59,   AN,San Joaquin Valley
1946,     1.99,   3.65,   5.73,  3.30,   AN,San Joaquin Valley
1947,     1.26,   2.12,   3.42,  2.18,    D,San Joaquin Valley
1948,     0.56,   3.58,   4.21,  2.70,   BN,San Joaquin Valley
1949,     0.62,   3.12,   3.79,  2.53,   BN,San Joaquin Valley
1950,     1.02,   3.57,   4.65,  2.85,   BN,San Joaquin Valley
1951,     4.35,   2.83,   7.25,  3.14,   AN,San Joaquin Valley
1952,     2.18,   6.84,   9.30,  5.17,    W,San Joaquin Valley
1953,     1.07,   3.18,   4.35,  3.03,   BN,San Joaquin Valley
1954,     1.10,   3.16,   4.30,  2.72,   BN,San Joaquin Valley
1955,     0.78,   2.67,   3.50,  2.30,    D,San Joaquin Valley
1956,     4.14,   5.29,   9.67,  4.46,    W,San Joaquin Valley
1957,     1.02,   3.19,   4.29,  3.01,   BN,San Joaquin Valley
1958,     1.67,   6.40,   8.36,  4.77,    W,San Joaquin Valley
1959,     0.98,   1.85,   2.98,  2.21,    D,San Joaquin Valley
1960,     0.85,   2.07,   2.96,  1.85,    C,San Joaquin Valley
1961,     0.54,   1.50,   2.10,  1.38,    C,San Joaquin Valley
1962,     1.26,   4.24,   5.61,  3.07,   BN,San Joaquin Valley
1963,     1.68,   4.37,   6.24,  3.57,   AN,San Joaquin Valley
1964,     0.93,   2.14,   3.14,  2.19,    D,San Joaquin Valley
1965,     3.20,   4.55,   8.13,  3.81,    W,San Joaquin Valley
